   text	   data	    bss	    dec	    hex	filename
    412	      0	      0	    412	    19c	../../..//mediatek/platform/mt6577/uboot/addr_trans.o
   6418	      8	   4768	  11194	   2bba	../../..//mediatek/platform/mt6577/uboot/bmt.o
    316	      0	      4	    320	    140	../../..//mediatek/platform/mt6577/uboot/boot_mode.o
     88	      0	      0	     88	     58	../../..//mediatek/platform/mt6577/uboot/disp_assert_layer.o
   2448	     44	      0	   2492	    9bc	../../..//mediatek/platform/mt6577/uboot/disp_drv_dbi.o
   3913	     52	     28	   3993	    f99	../../..//mediatek/platform/mt6577/uboot/disp_drv_dpi.o
   6721	     44	     32	   6797	   1a8d	../../..//mediatek/platform/mt6577/uboot/disp_drv_dsi.o
  16620	    120	    820	  17560	   4498	../../..//mediatek/platform/mt6577/uboot/disp_drv.o
   2255	      0	    192	   2447	    98f	../../..//mediatek/platform/mt6577/uboot/dpi_drv.o
  12469	      1	    824	  13294	   33ee	../../..//mediatek/platform/mt6577/uboot/dsi_drv.o
    733	      0	      0	    733	    2dd	../../..//mediatek/platform/mt6577/uboot/irq.o
  19466	      4	   4080	  23550	   5bfe	../../..//mediatek/platform/mt6577/uboot/lcd_drv.o
   6017	      0	     28	   6045	   179d	../../..//mediatek/platform/mt6577/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6577/uboot/lowlevel_init.o
  15068	      0	   3124	  18192	   4710	../../..//mediatek/platform/mt6577/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6577/uboot/mmc_test.o
  11376	      0	    232	  11608	   2d58	../../..//mediatek/platform/mt6577/uboot/msdc.o
    212	      0	      0	    212	     d4	../../..//mediatek/platform/mt6577/uboot/msdc_utils.o
  12330	    184	    592	  13106	   3332	../../..//mediatek/platform/mt6577/uboot/mt6577_bat.o
    993	      0	      0	    993	    3e1	../../..//mediatek/platform/mt6577/uboot/mt6577_board.o
    466	      0	      0	    466	    1d2	../../..//mediatek/platform/mt6577/uboot/mt6577_factory.o
    356	    214	     30	    600	    258	../../..//mediatek/platform/mt6577/uboot/mt6577_gpio_init.o
   6263	      4	      0	   6267	   187b	../../..//mediatek/platform/mt6577/uboot/mt6577_gpio.o
   1659	      0	      0	   1659	    67b	../../..//mediatek/platform/mt6577/uboot/mt6577_i2c.o
   1258	      0	      0	   1258	    4ea	../../..//mediatek/platform/mt6577/uboot/mt6577_meta.o
    632	      0	     24	    656	    290	../../..//mediatek/platform/mt6577/uboot/mt6577.o
    264	      0	      0	    264	    108	../../..//mediatek/platform/mt6577/uboot/mt6577_pll.o
  24272	      4	     12	  24288	   5ee0	../../..//mediatek/platform/mt6577/uboot/mt6577_pmic6329.o
   5118	     28	      8	   5154	   1422	../../..//mediatek/platform/mt6577/uboot/mt6577_pwm.o
    569	      0	      0	    569	    239	../../..//mediatek/platform/mt6577/uboot/mt6577_recovery.o
   1099	      0	      0	   1099	    44b	../../..//mediatek/platform/mt6577/uboot/mt6577_rtc.o
   2627	      0	      0	   2627	    a43	../../..//mediatek/platform/mt6577/uboot/mt6577_sleep.o
   2603	      0	    156	   2759	    ac7	../../..//mediatek/platform/mt6577/uboot/mt65xx_disp_drv.o
   2038	     28	      8	   2074	    81a	../../..//mediatek/platform/mt6577/uboot/mt65xx_leds.o
   5601	     84	  16064	  21749	   54f5	../../..//mediatek/platform/mt6577/uboot/mt65xx_logo.o
   2172	      0	   3544	   5716	   1654	../../..//mediatek/platform/mt6577/uboot/mt65xx_partition.o
   2182	      0	     40	   2222	    8ae	../../..//mediatek/platform/mt6577/uboot/mtk_auxadc.o
    361	      0	      0	    361	    169	../../..//mediatek/platform/mt6577/uboot/mtk_key.o
   1237	      0	      8	   1245	    4dd	../../..//mediatek/platform/mt6577/uboot/mtk_serial.o
    820	      0	      8	    828	    33c	../../..//mediatek/platform/mt6577/uboot/mtk_timer.o
    543	      0	      4	    547	    223	../../..//mediatek/platform/mt6577/uboot/mtk_wdt.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6577/uboot/nand.o
   3448	      0	   9316	  12764	   31dc	../../..//mediatek/platform/mt6577/uboot/partition_mt.o
